"ONGOING LIST OF BUSINESSES SUPPORTING THE FRIDAY, JANUARY 23 GENERAL STRIKE",
334,"Freewheel Bike, Eden Prairie - Eden Prairie, MN"
335,"Freewheel Bike, Minneapolis - Minneapolis, MN"
336,"Freewheel Bike, Minnetonka - Minnetonka, MN"
337,"Freewheel Bike, Richfield - Richfield, MN"
338,"Freewheel Bike, St. Paul - St. Paul, MN"
339,"Freewheel Bike, Woodbury - Woodbury, MN"
340,"French Hen Cafe - St. Paul, MN"
341,French Meadow Bakery & Cafe (Lyndale Ave. Locaton Only) - Minneapolis 
342,"FRGMNT Coffee, Eden Prairie - Eden Prairie, MN"
343,"FRGMNT Coffee, Mill District - Minneapolis, MN"
344,"FRGMNT Coffee, North Loop - Minneapolis, MN"
345,"FRGMNT Coffee, St. Anthony Main - Minneapolis, MN"
346,"FRGMNT, Skyway - Minneapolis, MN"
347,Frybread Factory (Food Truck)
348,"Fushion Pancake House & Bistro - Minneapolis, MN"
349,"Future - Minneapolis, MN"
350,"Future of Us - St. Paul, MN"
351,"Gai Noi - Minneapolis, MN"
352,"Gambit Brewing Company - St. Paul, MN"
353,"Garden Party Books - Rochester, MN"
354,"Gatherings Cafe - Minneapolis, MN"
355,"Gay 90's - Minneapolis, MN"
356,"George & the Dragon Pub - Minneapolis, MN"
357,"Gigi's Cafe - Minneapolis, MN"
358,"Ginkgo Coffeehouse, Smith Ave. N - St. Paul, MN"
359,"Ginkgo Coffeehouse, Snelling Ave. N - St. Paul, MN"
360,"Ginny Bites Bakery - Anoka, MN"
361,"Giot Cream Coffee - Minneapolis, MN"
362,"Glam Doll Donuts - Minneapolis, MN"
363,"Global Organic Distro - Minnepolis, MN"
364,"Global Village - Duluth, MN"
365,"Gluek's Restaurant and Bar - Minneapolis, MN"
366,"Golden Age Design - Robbinsdale, MN"
367,"Golden Pearl Vintage - Minneapolis, MN"
368,"Good Acre - Falcon Heights, MN"
369,"Good Grocer - Minneapolis, MN"
370,"Good Times Pizza - Minneapolis, MN"
371,"Grabbit Arcade - Maplewood, MN"
372,"Grand Avenue Tattoo - St. Paul, MN"
373,"Grand Hand Gallery - St. Paul, MN"
374,"Grand Jete - St. Paul, MN"
375,"Grand Performance - St. Paul, MN"
376,"Grandpa's Closet - St. Paul, MN"
377,"Green Duck Dispensary - Eagan, MN"
378,"Green Threads Vintage Clothing - Savage, MN"
379,"Greenhouse Salon & Shop - Minneapolis, MN"
380,"Griot Arts - Rochester, MN"
381,"Ground Zero Night Club (cancelling because of the cold and ""along with the stress and anxiety related to the ongoing siege of our cities"" - Minneapolis, MN"
382,"Grumpy's Northeast - Minneapolis, MN"
